EventId	CarNumber	Timestamp	ClassName	PositionInRun	CurrentLap	LastLapTimeSeconds	LastPitLap	PitStops
27712	242	2021-01-30 22:57:30.5527664	GTO	22	157	115.686	146	13
27712	85	2021-01-30 22:57:20.5305014	GP3	16	208	132.877	207	7
27712	44	2021-01-30 22:57:13.9957858	GP1	4	227	118.346	220	11
27712	110	2021-01-30 22:57:05.5758333	GP1	9	224	134.732	202	5
27712	134	2021-01-30 22:57:03.1500125	GP1	23	149	126.799	93	7
27712	51	2021-01-30 22:57:03.1500125	GP2	7	226	188.842	226	5
27712	66	2021-01-30 22:57:03.1500125	GP3	13	215	129.716	205	5
27712	983	2021-01-30 22:57:00.5626142	GTO	2	231	119.625	201	6
27712	77	2021-01-30 22:56:58.1202120	GTO	6	226	124.082	195	7
27712	199	2021-01-30 22:56:48.8646871	GP2	27	132	128.914	108	6
27712	152	2021-01-30 22:56:37.4712098	GP2	19	206	133.757	193	7
27712	84	2021-01-30 22:56:37.4712098	GP2	12	215	130.091	171	4
27712	511	2021-01-30 22:56:37.4712098	GTO	15	210	119.88	204	8
27712	95	2021-01-30 22:56:37.4712098	GTO	25	146	116.514	112	6
27712	9	2021-01-30 22:56:28.0770297	GTO	3	228	120.011	220	6
27712	69	2021-01-30 22:56:16.4800083	GP2	28	130	119.644	96	5
27712	32	2021-01-30 22:56:16.4800083	GP3	17	207	130.474	164	4
27712	366	2021-01-30 22:56:10.6478685	GP1	14	211	130.842	196	7
27712	58	2021-01-30 22:55:50.5303958	GP1	10	221	123.661	217	6
27712	29	2021-01-30 22:55:43.0038673	GTO	1	236	116.72	232	5
27712	525	2021-01-30 22:55:40.5643862	GP2	11	216	117.923	198	7
27712	982	2021-01-30 22:55:38.0420680	GTO	20	192	121.824	167	9
27712	242	2021-01-30 22:55:33.0459680	GTO	22	156	115.259	146	13
27712	172	2021-01-30 22:55:33.0459680	GTO	8	224	120.009	210	5
27712	348	2021-01-30 22:55:33.0459680	GP1	26	144	130.189	143	4
27712	44	2021-01-30 22:55:16.4854716	GP1	5	226	118.877	220	11
